StateNames,statecode,Year,schools_established,sc_schools,st_schools,tot_min_schools,SC_res,ST_res,Elec_Yrs_ECI,female_win_prop,SC_curr_share,ST_curr_share,sc_census_share,st_census_share,Population_Density_SqKm,sc_school_prop,st_school_prop,minority_schools_prop,ST_res_inter_ST_curr_share,SC_res_inter_SC_curr_share
Assam,17,1994,1105,124,232,356,6.349206349206351,12.6984126984127,0,3.96825396825397,7.057917423228295,17.54710488982411,7.177020862692229,18.12883900942698,247,.1122171945701358,.2099547511312217,.3221719457013575,222.820379553322,44.81217411573522
Andhra Pradesh,1,1995,866,156,87,243,13.265306122449,5.10204081632653,0,2.72108843537415,17.08276136467336,7.271280871640343,18.01415490570492,7.980632683709851,214,.1801385681293303,.1004618937644342,.2806004618937644,37.09837179408338,226.6080589191367
Bihar,2,1995,939,87,55,137,14.8148148148148,8.641975308641971,1,3.39506172839506,15.44735145474288,5.108579184021946,15.24515394283286,8.202532414294881,607,.0926517571884984,.0585729499467519,.1458998935037274,44.14821517056001,228.8496511813757
Delhi,3,1995,125,5,0,5,18.5714285714286,0,0,4.28571428571429,17.38124536181828,0,21.88670616710519,0,5057,.04,0,.04,0,322.7945567194828
Gujarat,4,1995,445,106,53,159,7.14285714285714,14.2857142857143,1,1.0989010989011,7.058251705674815,17.50473935901694,7.018281176348045,20.92550337408056,189,.2382022471910112,.1191011235955056,.3573033707865169,250.0677051288137,50.41608361196294
Haryana,5,1995,481,92,0,92,18.8888888888889,0,0,6.66666666666667,20.38342297584984,0,21.55933352373425,0,324,.1912681912681913,0,.1912681912681913,0,385.0202117660528
Karnataka,6,1995,1089,202,222,332,14.7321428571429,.892857142857143,0,3.125,17.12509614617693,5.940625269202383,18.16959335536851,5.244695160478249,210,.1854912764003673,.2038567493112948,.3048668503213958,5.304129704644986,252.2893628677858
Kerala,7,1995,217,46,24,59,9.28571428571429,.714285714285714,0,5.71428571428571,10.39856439187222,1.295688157538271,10.98094781341347,1.446263705151277,693,.2119815668202765,.1105990783410138,.271889400921659,.9254915410987647,96.55809792452776
Maharashtra,8,1995,1159,213,172,385,6.25,7.638888888888889,1,3.81944444444444,10.74493694837043,10.73097299198831,11.47212532808509,13.23635592416757,225,.183779119930975,.1484037963761864,.3321829163071613,81.97271035546626,67.15585592731522
Madhya Pradesh,9,1995,3452,433,461,894,13.75,23.4375,0,3.75,14.96123249779315,25.04369278221023,14.79553269123193,28.81994026513299,138,.1254345307068366,.1335457705677868,.2589803012746234,586.9615495830521,205.7169468446558
Odisha,10,1995,417,56,60,106,14.9659863945578,23.1292517006803,1,5.40540540540541,16.61505015473727,23.28768687503841,16.69538828663288,24.32293920751082,183,.1342925659472422,.1438848920863309,.2541966426858513,538.6267712593924,248.6606145606935
